Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,1,0,90966,-298927
1,1,0,1,90217,-297988
2,2,0,1,106183,-126681
3,3,0,1,113804,24378
4,4,0,1,120645,113125
5,5,0,1,138014,130726
6,6,0,1,173190,102003
7,7,0,1,223208,71511
8,8,0,1,273778,81378
9,9,0,1,303903,150549
10,10,0,1,294217,264358
11,11,0,1,235172,379048
12,12,0,1,132051,439622
13,13,0,1,3943,403984
14,14,0,1,-123465,262682
15,15,0,1,-227886,45819
16,16,0,1,-298831,-185978
17,17,0,1,-340599,-363485
18,18,0,1,-368643,-434824
19,19,0,1,-400846,-385572
20,20,0,1,-447480,-244576
21,21,0,1,-504310,-72935
22,22,0,1,-552706,59427
23,23,0,1,-567067,99932
24,24,0,1,-526520,32664
25,25,0,1,-425402,-116203
26,26,0,1,-279326,-289212
27,27,0,1,-123038,-419475
28,28,0,1,572,-455997
29,29,0,1,54714,-381253
30,30,0,1,21989,-216355
31,31,0,1,-89263,-12011
32,32,0,1,-246545,170148
33,33,0,1,-403202,279232
34,34,0,1,-513430,291298
35,35,0,1,-546551,214891
36,36,0,1,-495065,84838
37,37,0,1,-374939,-51964
38,38,0,1,-218464,-153179
39,39,0,1,-63296,-193876
40,40,0,1,59495,-172309
41,41,0,1,133529,-107152
42,42,0,1,158885,-28023
43,43,0,1,148310,36177
44,44,0,1,119767,65992
45,45,0,1,89854,56179
46,46,0,1,68312,15269
47,47,0,1,56427,-39771
48,48,0,1,49216,-90514
49,49,0,1,39842,-123141
50,50,0,1,23854,-131768
51,51,0,1,1362,-118543
52,52,0,1,-23407,-91748
53,53,0,1,-43683,-61885
54,54,0,1,-53300,-38195
55,55,0,1,-49652,-25806
56,56,0,1,-34858,-25564
57,57,0,1,-15042,-34810
58,58,0,1,2542,-48872
59,59,0,1,12237,-62758
60,60,0,1,11868,-72687
61,61,0,1,3557,-77285
62,62,0,1,-6840,-77066
63,63,0,1,-12555,-73573
64,64,0,1,-9022,-68790
65,65,0,1,4170,-64703
66,66,0,1,22790,-62649
67,67,0,1,39055,-63181
68,68,0,1,44344,-66123
69,69,0,1,32827,-71387
70,70,0,1,4292,-78910
71,71,0,1,-35346,-88400
72,72,0,1,-75396,-99488
73,73,0,1,-103575,-111673
74,74,0,1,-110187,-124335
75,75,0,1,-91597,-136843
76,76,0,1,-51808,-148529
77,77,0,1,-1498,-158792
78,78,0,1,45264,-167214
79,79,0,1,75309,-173493
80,80,0,1,80333,-177229
81,81,0,1,59324,-177752
82,82,0,1,18528,-174157
83,83,0,1,-30883,-165675
84,84,0,1,-76624,-152036
85,85,0,1,-109082,-133679
86,86,0,1,-123779,-111838
87,87,0,1,-121918,-88443
88,88,0,1,-109135,-65757
89,89,0,1,-93163,-45747
90,90,0,1,-81079,-29646
91,91,0,1,-77277,-17847
92,92,0,1,-82715,-10188
93,93,0,1,-95452,-6465
94,94,0,1,-111923,-6674
95,95,0,1,-128261,-10984
96,96,0,1,-141126,-19536
97,97,0,1,-148166,-32022
98,98,0,1,-148142,-47147
99,99,0,1,-140589,-62290
100,100,0,1,-125626,-73832
101,101,0,1,-104025,-78230
102,102,0,1,-77521,-73188
103,103,0,1,-49022,-58646
104,104,0,1,-22408,-37156
105,105,0,1,-1796,-13454
106,106,0,1,9341,6670
107,107,0,1,9073,18059
108,108,0,1,-2433,17908
109,109,0,1,-22725,6746
110,110,0,1,-47579,-11744
111,111,0,1,-71965,-31924
112,112,0,1,-91309,-47913
113,113,0,1,-102374,-55367
114,114,0,1,-103695,-52676
115,115,0,1,-95656,-41370
116,116,0,1,-80242,-25396
117,117,0,1,-60518,-9559
118,118,0,1,-39972,2214
119,119,0,1,-21904,7990
120,120,0,1,-8968,8199
121,121,0,1,-2949,5254
122,122,0,1,-4526,2500
123,123,0,1,-13066,2946
124,124,0,1,-26651,8120
125,125,0,1,-42391,17658
126,126,0,1,-57016,29622
127,127,0,1,-67441,41394
128,128,0,1,-71316,50608
129,129,0,1,-67547,55770
130,130,0,1,-56643,56579
131,131,0,1,-40585,53769
132,132,0,1,-22338,48601
133,133,0,1,-5184,42065
134,134,0,1,7835,34304
135,135,0,1,14506,24621
136,136,0,1,13796,11990
137,137,0,1,6243,-4359
138,138,0,1,-6145,-24314
139,139,0,1,-20333,-46455
140,140,0,1,-32793,-68114
141,141,0,1,-40112,-85943
142,142,0,1,-39744,-97058
143,143,0,1,-30697,-100193
144,144,0,1,-13988,-96359
145,145,0,1,7384,-88723
146,146,0,1,29074,-81763
147,147,0,1,46378,-79915
148,148,0,1,55424,-86005
149,149,0,1,54225,-100040
150,150,0,1,43394,-118733
151,151,0,1,26218,-136446
152,152,0,1,7917,-147099
153,153,0,1,-5800,-146305
154,154,0,1,-10416,-133043
155,155,0,1,-3822,-110353
156,156,0,1,12980,-84682
157,157,0,1,35992,-64021
158,158,0,1,59185,-55371
159,159,0,1,76144,-62271
160,160,0,1,81932,-83601
161,161,0,1,74545,-113974
162,162,0,1,55359,-145425
163,163,0,1,28599,-169854
164,164,0,1,120,-181265
165,165,0,1,-24246,-177448
166,166,0,1,-40479,-160373
167,167,0,1,-47516,-135076
168,168,0,1,-47266,-107798
169,169,0,1,-43634,-84156
170,170,0,1,-40925,-67928
171,171,0,1,-42244,-60606
172,172,0,1,-48350,-61649
173,173,0,1,-57338,-69081
174,174,0,1,-65315,-80192
175,175,0,1,-67996,-92108
176,176,0,1,-62494,-101923
177,177,0,1,-48788,-106714
178,178,0,1,-29938,-103855
179,179,0,1,-11329,-91683
180,180,0,1,976,-70295
181,181,0,1,2204,-42059
182,182,0,1,-9378,-11387
183,183,0,1,-31643,16244
184,184,0,1,-59087,35671
185,185,0,1,-84543,43765
186,186,0,1,-101503,40673
187,187,0,1,-106131,29913
188,188,0,1,-98542,17091
189,189,0,1,-82848,7754
190,190,0,1,-65959,5276
191,191,0,1,-55415,9597
192,192,0,1,-56820,17293
193,193,0,1,-71948,22932
194,194,0,1,-98071,21298
195,195,0,1,-128700,9741
196,196,0,1,-155396,-10589
197,197,0,1,-170212,-35011
198,198,0,1,-168059,-57064
199,199,0,1,-148298,-70961
200,200,0,1,-114913,-73523
201,201,0,1,-75180,-65224
202,202,0,1,-37370,-49807
203,203,0,1,-8360,-32745
204,204,0,1,8224,-19138
205,205,0,1,12755,-11904
206,206,0,1,9037,-11084
207,207,0,1,2599,-14347
208,208,0,1,-1482,-18298
209,209,0,1,-501,-19894
210,210,0,1,5201,-17372
211,211,0,1,12814,-10552
212,212,0,1,18540,-554
213,213,0,1,19427,10896
214,214,0,1,14758,22188
215,215,0,1,6605,32207
216,216,0,1,-826,40096
217,217,0,1,-2951,45018
218,218,0,1,3115,46209
219,219,0,1,17163,43339
220,220,0,1,35705,36923
221,221,0,1,52905,28522
222,222,0,1,62395,20522
223,223,0,1,59435,15415
224,224,0,1,42626,14822
225,225,0,1,14522,18401
226,226,0,1,-19126,23460
227,227,0,1,-51257,25772
228,228,0,1,-75612,21198
229,229,0,1,-88403,7639
230,230,0,1,-89116,-13816
231,231,0,1,-80352,-38768
232,232,0,1,-66708,-60657
233,233,0,1,-52980,-72974
234,234,0,1,-42577,-71742
235,235,0,1,-36689,-57232
236,236,0,1,-34294,-34032
237,237,0,1,-32996,-9495
238,238,0,1,-30111,8733
239,239,0,1,-23824,15158
240,240,0,1,-13983,7943
241,241,0,1,-2250,-10919
242,242,0,1,8391,-36797
243,243,0,1,14721,-64447
244,244,0,1,14274,-89848
245,245,0,1,6135,-111165
246,246,0,1,-8799,-128490
247,247,0,1,-28018,-142652
248,248,0,1,-47953,-153956
249,249,0,1,-64993,-161553
250,250,0,1,-76515,-163526
251,251,0,1,-81595,-157791
252,252,0,1,-81133,-143331
253,253,0,1,-77496,-121201
254,254,0,1,-73854,-94720
255,255,0,1,-73198,-68591
256,256,0,1,-77434,-47402
257,257,0,1,-86551,-34216
258,258,0,1,-98561,-29887
259,259,0,1,-110003,-33100
260,260,0,1,-116981,-41090
