Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
7371,7371,0,13,-50171,-121090,0,35253,34813,0,60,-77
7372,7372,0,14,-92699,-92664,0,16517,16077,0,61,-44
7373,7373,0,-6,-121109,50123,0,-33487,-33927,0,62,-110
7374,7374,0,9,-131072,0,0,-101881,-56725,0,63,-6
7375,7375,0,14,-121090,50170,0,-154473,-135613,0,64,-26
7376,7376,0,-2,-92664,92698,0,-233361,-161909,0,65,4
7377,7377,0,-9,50123,121108,0,-278957,-207505,0,66,-47
7378,7378,0,10,0,131071,0,-345629,-240841,0,67,-42
7379,7379,0,18,50170,121089,0,-383101,-259577,0,68,3
7380,7380,0,11,92698,92663,0,-388159,-267164,0,69,-39
7381,7381,0,-1,121108,-50124,0,-380605,-259610,0,70,-6
7382,7382,0,1,131071,-1,0,-375531,-249462,0,71,-51
7383,7383,0,0,121089,-50171,0,-365147,-239078,0,72,-59
7384,7384,0,8,92663,-92699,0,-358051,-231982,0,73,22
7385,7385,0,-4,-50124,-121109,0,-355751,-229682,0,74,4
7386,7386,0,10,-1,-131072,0,-358829,-232760,0,75,-24
7387,7387,0,-1,-50171,-121090,0,-365777,-239708,0,76,-92
7388,7388,0,1,-92699,-92664,0,-370789,-242214,0,77,-75
7389,7389,0,8,-121109,50123,0,-372590,-242214,0,78,20
7390,7390,0,6,-131072,0,0,-373904,-244185,0,79,-54
7391,7391,0,8,-121090,50170,0,-373048,-243329,0,80,-28
7392,7392,0,13,-92664,92698,0,-369754,-241133,0,81,-103
7393,7393,0,13,50123,121108,0,-367302,-238681,0,82,9
7394,7394,0,15,0,131071,0,-364587,-236871,0,83,-42
7395,7395,0,2,50170,121089,0,-363871,-235797,0,84,-2
7396,7396,0,14,92698,92663,0,-364375,-236133,0,85,-22
7397,7397,0,9,121108,-50124,0,-365377,-237636,0,86,-58
