Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
197,197,0,1,-24705,-55048
198,198,0,1,-15833,-44456
199,199,0,1,-10456,-39423
200,200,0,1,-8794,-40231
201,201,0,1,-10500,-45555
202,202,0,1,-14815,-52952
203,203,0,1,-20610,-59566
204,204,0,1,-26370,-62735
205,205,0,1,-30314,-60538
206,206,0,1,-30590,-52136
207,207,0,1,-25687,-37953
208,208,0,1,-14961,-19559
209,209,0,1,1014,526
210,210,0,1,20161,19373
211,211,0,1,39223,34237
212,212,0,1,54399,43086
213,213,0,1,62287,44991
214,214,0,1,60845,40277
215,215,0,1,50045,30367
216,216,0,1,31983,17356
217,217,0,1,10356,3567
218,218,0,1,-10499,-8913
219,219,0,1,-26847,-18511
220,220,0,1,-36490,-24324
221,221,0,1,-39352,-26109
222,222,0,1,-37369,-24226
223,223,0,1,-33725,-19593
224,224,0,1,-31833,-13528
225,225,0,1,-34245,-7609
226,226,0,1,-41888,-3360
227,227,0,1,-53822,-1919
228,228,0,1,-67568,-3752
229,229,0,1,-79907,-8461
230,230,0,1,-87884,-14905
231,231,0,1,-89686,-21547
232,232,0,1,-85220,-27012
233,233,0,1,-76063,-30564
234,234,0,1,-65046,-32355
235,235,0,1,-55332,-33287
236,236,0,1,-49432,-34536
237,237,0,1,-48452,-36948
238,238,0,1,-51756,-40532
239,239,0,1,-57200,-44354
240,240,0,1,-61921,-46856
241,241,0,1,-63312,-46513
242,242,0,1,-59955,-42534
243,243,0,1,-52206,-35318
244,244,0,1,-42057,-26423
245,245,0,1,-32430,-18005
246,246,0,1,-26135,-12034
247,247,0,1,-24815,-9549
248,248,0,1,-28313,-10351
249,249,0,1,-34709,-13194
250,250,0,1,-40935,-16415
251,251,0,1,-43946,-18729
252,252,0,1,-41781,-19853
253,253,0,1,-34254,-20605
254,254,0,1,-23045,-22430
255,255,0,1,-11073,-26679
256,256,0,1,-1480,-33789
257,257,0,1,3426,-42865
258,258,0,1,2831,-51873
259,259,0,1,-2446,-58260
260,260,0,1,-10456,-59924
261,261,0,1,-18925,-56071
262,262,0,1,-26091,-47605
263,263,0,1,-31219,-36919
264,264,0,1,-34666,-27146
265,265,0,1,-37460,-21144
266,266,0,1,-40665,-20631
267,267,0,1,-44852,-25608
268,268,0,1,-49763,-34421
269,269,0,1,-54436,-44259
270,270,0,1,-57545,-51987
271,271,0,1,-58017,-54967
272,272,0,1,-55406,-51740
273,273,0,1,-50116,-42344
274,274,0,1,-43240,-28278
275,275,0,1,-36289,-12120
276,276,0,1,-30691,3011
277,277,0,1,-27416,14165
278,278,0,1,-26791,19174
279,279,0,1,-28470,17162
280,280,0,1,-31561,8800
281,281,0,1,-34820,-3809
282,282,0,1,-36911,-17573
283,283,0,1,-36588,-29124
284,284,0,1,-32970,-35733
285,285,0,1,-25648,-36051
286,286,0,1,-14927,-30528
287,287,0,1,-1861,-21356
288,288,0,1,11867,-11862
289,289,0,1,24161,-5583
290,290,0,1,32988,-5238
291,291,0,1,36860,-11871
292,292,0,1,35240,-24534
293,293,0,1,28686,-40536
294,294,0,1,18688,-56211
295,295,0,1,7151,-67909
296,296,0,1,-4198,-72985
297,297,0,1,-14357,-70474
298,298,0,1,-23338,-61209
299,299,0,1,-32093,-47496
300,300,0,1,-41942,-32381
301,301,0,1,-53949,-18783
302,302,0,1,-68247,-8800
303,303,0,1,-83725,-3346
304,304,0,1,-98115,-2172
305,305,0,1,-108547,-4207
306,306,0,1,-112352,-8095
307,307,0,1,-107911,-12765
308,308,0,1,-95239,-17755
309,309,0,1,-76170,-23263
310,310,0,1,-53999,-29911
311,311,0,1,-32847,-38314
312,312,0,1,-16736,-48620
313,313,0,1,-8748,-60221
314,314,0,1,-10334,-71678
315,315,0,1,-21056,-80975
316,316,0,1,-38644,-86042
317,317,0,1,-59437,-85396
318,318,0,1,-79058,-78661
319,319,0,1,-93231,-66882
320,320,0,1,-98575,-52400
321,321,0,1,-93260,-38460
322,322,0,1,-77409,-28488
323,323,0,1,-53090,-25340
324,324,0,1,-23971,-30551
325,325,0,1,5360,-43998
326,326,0,1,30288,-63898
327,327,0,1,47047,-87173
328,328,0,1,53427,-110136
329,329,0,1,49096,-129196
330,330,0,1,35517,-141586
331,331,0,1,15442,-145861
332,332,0,1,-7808,-141998
333,333,0,1,-31100,-131301
334,334,0,1,-52127,-116008
335,335,0,1,-69675,-98766
336,336,0,1,-83612,-82043
337,337,0,1,-94569,-67696
338,338,0,1,-103452,-56711
339,339,0,1,-111058,-49101
340,340,0,1,-117778,-44031
341,341,0,1,-123476,-40137
342,342,0,1,-127591,-35901
343,343,0,1,-129291,-29994
344,344,0,1,-127635,-21602
345,345,0,1,-121729,-10618
346,346,0,1,-110891,2313
347,347,0,1,-94826,15858
348,348,0,1,-73825,28203
349,349,0,1,-49041,37310
350,350,0,1,-22666,41301
351,351,0,1,2050,38748
