Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
324,324,0,89
325,325,0,-7
326,326,0,22
327,327,0,67
328,328,0,99
329,329,0,63
330,330,0,-29
331,331,0,2
332,332,0,-39
333,333,0,-7
334,334,0,-52
335,335,0,-15
336,336,0,9
337,337,0,62
338,338,0,74
339,339,0,25
340,340,0,0
341,341,0,43
342,342,0,36
343,343,0,67
344,344,0,30
345,345,0,-94
346,346,0,-41
347,347,0,-88
348,348,0,55
349,349,0,64
350,350,0,53
351,351,0,0
352,352,0,15
353,353,0,-31
354,354,0,17
355,355,0,45
356,356,0,57
357,357,0,55
358,358,0,-4
359,359,0,22
360,360,0,53
361,361,0,-78
362,362,0,-140
363,363,0,24
364,364,0,27
365,365,0,67
366,366,0,38
367,367,0,29
368,368,0,110
369,369,0,59
370,370,0,36
371,371,0,-10
372,372,0,-54
373,373,0,-2
374,374,0,-29
375,375,0,-19
376,376,0,4
377,377,0,-77
378,378,0,-116
379,379,0,-102
380,380,0,-68
381,381,0,-85
382,382,0,110
383,383,0,207
384,384,0,26
385,385,0,-265
386,386,0,-386
387,387,0,-75
388,388,0,3
389,389,0,-16
390,390,0,-17
391,391,0,60
392,392,0,51
393,393,0,13
394,394,0,52
395,395,0,80
396,396,0,29
397,397,0,-38
398,398,0,36
399,399,0,-31
400,400,0,-102
401,401,0,-57
402,402,0,33
403,403,0,-65
404,404,0,96
405,405,0,138
406,406,0,72
407,407,0,35
408,408,0,-33
409,409,0,51
410,410,0,61
411,411,0,132
412,412,0,32
413,413,0,-45
414,414,0,-20
415,415,0,60
416,416,0,37
417,417,0,31
418,418,0,-80
419,419,0,-76
420,420,0,-38
421,421,0,27
422,422,0,-21
423,423,0,-50
424,424,0,-12
425,425,0,-112
426,426,0,4
427,427,0,77
428,428,0,44
429,429,0,-111
430,430,0,108
431,431,0,30
432,432,0,-56
433,433,0,98
434,434,0,51
435,435,0,-442
436,436,0,3
437,437,0,25
438,438,0,-139
439,439,0,107
440,440,0,126
441,441,0,-226
442,442,0,40
443,443,0,112
444,444,0,-76
445,445,0,127
446,446,0,68
447,447,0,-23
448,448,0,63
449,449,0,-88
450,450,0,-19
451,451,0,115
452,452,0,69
453,453,0,30
454,454,0,63
455,455,0,-4
456,456,0,38
457,457,0,99
458,458,0,18
459,459,0,-24
460,460,0,3
461,461,0,37
462,462,0,25
463,463,0,55
464,464,0,92
465,465,0,-40
466,466,0,-49
467,467,0,-16
468,468,0,-22
469,469,0,-29
470,470,0,63
471,471,0,-21
472,472,0,29
473,473,0,37
474,474,0,16
475,475,0,-10
476,476,0,33
477,477,0,-26
478,478,0,27
479,479,0,93
480,480,0,18
481,481,0,-51
482,482,0,-48
483,483,0,60
484,484,0,29
485,485,0,22
486,486,0,-59
487,487,0,-34
488,488,0,3
489,489,0,72
490,490,0,80
491,491,0,-5
492,492,0,-11
493,493,0,-45
494,494,0,-1
495,495,0,14
496,496,0,8
497,497,0,105
498,498,0,-101
499,499,0,120
500,500,0,-37
501,501,0,-203
502,502,0,183
503,503,0,-54
504,504,0,-160
505,505,0,114
506,506,0,-40
507,507,0,-47
508,508,0,89
509,509,0,124
510,510,0,-8
511,511,0,27
512,512,0,45
513,513,0,-54
514,514,0,-185
515,515,0,2
516,516,0,48
517,517,0,-12
518,518,0,70
519,519,0,-45
520,520,0,30
521,521,0,-8
522,522,0,-42
523,523,0,-33
524,524,0,-31
525,525,0,87
526,526,0,66
527,527,0,53
528,528,0,37
529,529,0,3
530,530,0,3
531,531,0,22
532,532,0,-3
533,533,0,-75
534,534,0,-6
535,535,0,112
536,536,0,39
537,537,0,0
538,538,0,-10
