Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,1,0,-82789,199984
1,1,0,1,-91981,204769
2,2,0,1,-31963,96353
3,3,0,1,42904,-85352
4,4,0,1,115804,-299663
5,5,0,1,162328,-486515
6,6,0,1,158340,-586275
7,7,0,1,89538,-561404
8,8,0,1,-40716,-411698
9,9,0,1,-209159,-177374
10,10,0,1,-377567,71881
11,11,0,1,-503872,258408
12,12,0,1,-556012,321392
13,13,0,1,-523353,236785
14,14,0,1,-421784,25255
15,15,0,1,-290083,-254479
16,16,0,1,-178538,-524462
17,17,0,1,-133188,-711869
18,18,0,1,-181222,-770812
19,19,0,1,-322021,-694428
20,20,0,1,-526789,-513953
21,21,0,1,-746883,-286030
22,22,0,1,-927983,-73405
23,23,0,1,-1025056,73649
24,24,0,1,-1014749,130660
25,25,0,1,-900917,101376
26,26,0,1,-711322,11307
27,27,0,1,-488650,-103091
28,28,0,1,-278766,-207690
29,29,0,1,-118045,-280046
30,30,0,1,-25625,-311953
31,31,0,1,-1316,-307573
32,32,0,1,-28995,-278269
33,33,0,1,-83401,-236284
34,34,0,1,-139247,-190700
35,35,0,1,-177933,-146958
36,36,0,1,-190793,-107708
37,37,0,1,-179362,-74399
38,38,0,1,-151990,-48976
39,39,0,1,-118815,-33929
40,40,0,1,-87963,-30494
41,41,0,1,-63510,-37789
42,42,0,1,-45438,-52758
43,43,0,1,-31262,-70278
44,44,0,1,-19185,-85109
45,45,0,1,-9365,-94363
46,46,0,1,-3777,-97803
47,47,0,1,-5758,-97732
48,48,0,1,-17500,-97505
49,49,0,1,-38078,-99095
50,50,0,1,-63332,-101669
51,51,0,1,-86923,-102112
52,52,0,1,-101990,-96371
53,53,0,1,-104304,-81425
54,54,0,1,-93940,-57934
55,55,0,1,-74863,-30671
56,56,0,1,-54038,-6841
57,57,0,1,-39123,5964
58,58,0,1,-35058,2526
59,59,0,1,-42377,-16790
60,60,0,1,-57956,-46517
61,61,0,1,-75431,-77446
62,62,0,1,-87606,-99306
63,63,0,1,-89577,-104064
64,64,0,1,-79926,-88967
65,65,0,1,-60970,-56741
66,66,0,1,-38402,-14342
67,67,0,1,-18889,28636
68,68,0,1,-7715,63426
69,69,0,1,-7667,84155
70,70,0,1,-17973,88700
71,71,0,1,-34778,78543
72,72,0,1,-52403,57525
73,73,0,1,-65116,30373
74,74,0,1,-68779,1340
75,75,0,1,-61989,-26502
76,76,0,1,-46457,-51279
77,77,0,1,-26457,-71836
78,78,0,1,-7497,-87179
79,79,0,1,5302,-96280
80,80,0,1,8879,-98232
81,81,0,1,3193,-92750
82,82,0,1,-8661,-80809
83,83,0,1,-21244,-64938
84,84,0,1,-28543,-48960
85,85,0,1,-25983,-37151
86,86,0,1,-12179,-33015
87,87,0,1,10332,-38204
88,88,0,1,35557,-51829
89,89,0,1,55901,-70535
90,90,0,1,64805,-89439
91,91,0,1,59299,-103626
92,92,0,1,41532,-109593
93,93,0,1,18637,-106267
94,94,0,1,720,-95182
95,95,0,1,-2424,-79722
96,96,0,1,15120,-63784
97,97,0,1,52764,-50355
98,98,0,1,102762,-40612
99,99,0,1,151923,-33912
100,100,0,1,185129,-28624
101,101,0,1,189769,-23269
102,102,0,1,159627,-17680
103,103,0,1,97025,-13486
104,104,0,1,12580,-13628
105,105,0,1,-77408,-21098
106,106,0,1,-155192,-37412
107,107,0,1,-206032,-61512
108,108,0,1,-221692,-89526
109,109,0,1,-202126,-115542
110,110,0,1,-154960,-133266
111,111,0,1,-92972,-137933
112,112,0,1,-30520,-127878
113,113,0,1,19889,-105102
114,114,0,1,50218,-74797
115,115,0,1,58034,-43889
116,116,0,1,45976,-19081
117,117,0,1,20148,-5170
118,118,0,1,-12078,-4003
119,119,0,1,-44148,-14365
