Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
2750,2750,0,86,-22365,-129149,0,-1573809,-2361228,1,47243412,-7
2751,2751,0,61,129148,-22365,0,-1604609,-2596886,1,29314556,-17
2752,2752,0,-51,22364,129148,0,-1635309,-2839600,1,9232196,-13
2753,2753,0,-161,-129149,22364,0,-1669475,-3046032,1,-6770534,-7
2754,2754,0,48,-22365,-129149,0,-1762634,-3055722,1,-16947882,-25
2755,2755,0,75,129148,-22365,0,-1742881,-2862407,1,-21394182,-20
2756,2756,0,36,22364,129148,0,-1841499,-2473084,1,-20575790,-27
2757,2757,0,-18,-129149,22364,0,-1772567,-2107355,1,-14613168,-30
2758,2758,0,17,-22365,-129149,0,-1537169,-1867139,1,-3608566,-15
2759,2759,0,-59,129148,-22365,0,-1196378,-1669695,1,10730342,-26
2760,2760,0,4,22364,129148,0,-1095088,-1418248,1,22411778,-4
2761,2761,0,94,-129149,22364,0,-974246,-1337500,1,22228630,-3
2762,2762,0,-6,-22365,-129149,0,-837867,-1443683,1,7380802,-18
2763,2763,0,77,129148,-22365,0,-810958,-1467620,1,-12415782,-26
2764,2764,0,37,22364,129148,0,-985677,-1545911,1,-25721328,-26
2765,2765,0,-81,-129149,22364,0,-1226345,-1606120,1,-29422966,-20
2766,2766,0,54,-22365,-129149,0,-1479984,-1660770,1,-25741000,-27
2767,2767,0,34,129148,-22365,0,-1672975,-1655678,1,-17947310,-16
2768,2768,0,-34,22364,129148,0,-1590173,-1568949,1,-7909200,-13
2769,2769,0,35,-129149,22364,0,-1408926,-1573206,1,4013936,-21
2770,2770,0,5,-22365,-129149,0,-1327108,-1536431,1,18471594,-18
2771,2771,0,-16,129148,-22365,0,-1315194,-1470037,1,35632644,-31
2772,2772,0,6,22364,129148,0,-1107380,-1549761,1,52798434,-21
2773,2773,0,7,-129149,22364,0,-838131,-1665304,1,62279496,-26
2774,2774,0,47,-22365,-129149,0,-635188,-1865745,1,57150530,-31
2775,2775,0,47,129148,-22365,0,-547511,-2190108,1,40700594,-8
2776,2776,0,4,22364,129148,0,-581755,-2578930,1,22308396,-23
2777,2777,0,-87,-129149,22364,0,-725849,-2869162,1,7282506,-17
2778,2778,0,25,-22365,-129149,0,-796085,-3018573,1,-4558706,-11
2779,2779,0,98,129148,-22365,0,-759440,-3030113,1,-15907474,-12
2780,2780,0,-218,22364,129148,0,-814773,-2857206,1,-30844402,-25
2781,2781,0,13,-129149,22364,0,-920333,-2459084,1,-56586508,-28
2782,2782,0,20,-22365,-129149,0,-1155216,-1964080,1,-108837022,-6
2783,2783,0,91,129148,-22365,0,-1303675,-1459459,1,-211775988,-15
2784,2784,0,32,22364,129148,0,-1343541,-305061,1,-299552832,-26
2785,2785,0,8,-129149,22364,0,-1347827,469798,1,-206086418,-14
2786,2786,0,82,-22365,-129149,0,-1432708,823897,1,-66022292,-7
2787,2787,0,139,129148,-22365,0,-1454580,919957,1,38941056,-16
2788,2788,0,6,22364,129148,0,-1465613,568330,1,135826386,-20
2789,2789,0,72,-129149,22364,0,-1577700,25168,1,203188140,-11
2790,2790,0,27,-22365,-129149,0,-1637915,-716712,1,179092796,-25
2791,2791,0,-120,129148,-22365,0,-1609722,-1438889,1,105981096,-22
2792,2792,0,-288,22364,129148,0,-1596011,-1818435,1,46465334,-20
2793,2793,0,-33,-129149,22364,0,-1685386,-1936756,1,6474572,-16
2794,2794,0,97,-22365,-129149,0,-1724247,-1865023,1,-20159116,-18
2795,2795,0,-40,129148,-22365,0,-1725524,-1622971,1,-33337854,-13
2796,2796,0,51,22364,129148,0,-1655867,-1454373,1,-27842242,-25
2797,2797,0,40,-129149,22364,0,-1697200,-1327145,1,-2445164,-17
2798,2798,0,-30,-22365,-129149,0,-1673571,-1307335,1,31929906,-15
2799,2799,0,45,129148,-22365,0,-1527346,-1491601,1,56765444,-2
2800,2800,0,-6,22364,129148,0,-1400311,-1881573,1,59665440,-9
2801,2801,0,-69,-129149,22364,0,-1428389,-2235509,1,43355392,-28
2802,2802,0,-9,-22365,-129149,0,-1480603,-2406987,1,16902846,-24
2803,2803,0,199,129148,-22365,0,-1504068,-2421072,1,-13643596,-22
2804,2804,0,52,22364,129148,0,-1489837,-2259031,1,-44988548,-25
2805,2805,0,53,-129149,22364,0,-1636820,-2052388,1,-70466420,-18
2806,2806,0,56,-22365,-129149,0,-1826902,-1750612,1,-77972316,-13
2807,2807,0,-309,129148,-22365,0,-1994440,-1453575,1,-59695958,-21
2808,2808,0,-489,22364,129148,0,-2151665,-1327011,1,-22489736,-18
2809,2809,0,-129,-129149,22364,0,-2221922,-1268007,1,20523662,-23
2810,2810,0,2562,-22365,-129149,0,-2252581,-1414070,1,58131424,-13
2811,2811,0,93,129148,-22365,0,-2106582,-1775000,1,79112046,-10
2812,2812,0,-2,22364,129148,0,-1763531,-2123604,1,76076590,-16
2813,2813,0,516,-129149,22364,0,-1434518,-2406027,1,53627012,-6
2814,2814,0,140,-22365,-129149,0,-1232033,-2599858,1,24442362,-9
2815,2815,0,-202,129148,-22365,0,-1133093,-2616290,1,-1363972,-13
2816,2816,0,-674,22364,129148,0,-1120821,-2559609,1,-16247442,-12
2817,2817,0,-1306,-129149,22364,0,-1280053,-2513974,1,-14818006,-31
2818,2818,0,-14,-22365,-129149,0,-1421243,-2411484,1,5500792,-18
2819,2819,0,46,129148,-22365,0,-1242973,-2343765,1,39458120,-19
