0,0,1,-92664,10443,92698,0,-8931979062,-6752791254
1,1,0,-92664,2733,92698,1,8840440581,12874598840
2,2,0,-92664,-16934,92698,1,9984762112,-14330668071
3,3,0,-92664,-29619,92698,1,13060305211,-11823284979
4,4,0,-92664,-29983,92698,1,-16641065536,16375475536
5,5,0,-92664,-18094,92698,1,-10624095120,10072678958
6,6,0,-92664,1405,92698,1,-14467112532,9299576594
7,7,0,-92664,20257,92698,1,11354772948,8075910223
8,8,0,-92664,30828,92698,1,7992843493,9066972186
9,9,0,-92664,28612,92698,1,7152852512,9546302783
10,10,0,-92664,14533,92698,1,7246721896,11849088312
11,11,0,-92664,-5581,92698,1,7773668908,14581879273
12,12,0,-92664,-23296,92698,1,10741763069,-12200078851
13,13,0,-92664,-31425,92698,1,12692692766,-14014285960
14,14,0,-92664,-26488,92698,1,-15149106910,12264364455
15,15,0,-92664,-10668,92698,1,-11689067128,8572519664
16,16,0,-92664,9597,92698,1,16664490089,9013749956
17,17,0,-92664,25972,92698,1,9139529593,8692514339
18,18,0,-92664,31510,92698,1,9295613038,9811412530
19,19,0,-92664,24075,92698,1,9387453165,12370182713
20,20,0,-92664,6621,92698,1,10215082927,14628150377
21,21,0,-92664,-13558,92698,1,11117083765,-14877469640
22,22,0,-92664,-28052,92698,1,14465330747,-9987671114
23,23,0,-92664,-30904,92698,1,16523973963,-15251415578
24,24,0,-92664,-21019,92698,1,-11512385711,10247260869
25,25,0,-92664,-2522,92698,1,-13102164003,8086051044
26,26,0,-92664,17163,92698,1,13032348975,7464337559
27,27,0,-92664,29707,92698,1,7609871942,7963059531
28,28,0,-92664,30052,92698,1,7486630573,8540063860
29,29,0,-92664,17843,92698,1,7556774311,12068211806
30,30,0,-92664,-1637,92698,1,8764187757,14902124317
31,31,0,-92664,-20513,92698,1,11285075229,-12645161268
32,32,0,-92664,-30862,92698,1,14251024662,-12493378785
33,33,0,-92664,-28350,92698,1,-15033291630,14951338966
34,34,0,-92664,-14221,92698,1,-11114977692,8639025721
35,35,0,-92664,5787,92698,1,-16480882135,7856875930
36,36,0,-92664,23461,92698,1,10081502093,8368907267
37,37,0,-92664,31390,92698,1,8040389034,9835155872
38,38,0,-92664,26370,92698,1,7832331502,10773265774
39,39,0,-92664,10384,92698,1,9567270802,13477679673
40,40,0,-92664,-9995,92698,1,10560908771,-16133850774
41,41,0,-92664,-26136,92698,1,13418507008,-10674236982
42,42,0,-92664,-31374,92698,1,15600546242,-15208813412
43,43,0,-92664,-23692,92698,1,-11920578546,10822495662
44,44,0,-92664,-6252,92698,1,-12749982052,7987413402
45,45,0,-92664,13893,92698,1,13001191315,6846490098
46,46,0,-92664,28161,92698,1,6473216251,7546084176
47,47,0,-92664,30941,92698,1,5812453333,8688171608
48,48,0,-92664,20869,92698,1,5391058625,11633468621
49,49,0,-92664,2148,92698,1,7139203357,13612608598
50,50,0,-92664,-17583,92698,1,9265840483,-13626940688
51,51,0,-92664,-29827,92698,1,12342752165,-11175247556
52,52,0,-92664,-29759,92698,1,16647470973,16930177964
53,53,0,-92664,-17592,92698,1,-11038009552,9461070014
54,54,0,-92664,2115,92698,1,-14934815956,8783400434
