Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,1,0,-107951,393243
1,1,0,1,-108189,393256
2,2,0,1,-22660,260924
3,3,0,1,87262,133971
4,4,0,1,199230,33396
5,5,0,1,287838,-33880
6,6,0,1,331289,-76062
7,7,0,1,317531,-112420
8,8,0,1,247906,-165636
9,9,0,1,137011,-252956
10,10,0,1,8912,-378334
11,11,0,1,-109487,-528528
12,12,0,1,-195782,-673928
13,13,0,1,-238002,-775012
14,14,0,1,-237376,-792746
15,15,0,1,-206929,-700913
16,16,0,1,-166455,-496161
17,17,0,1,-135414,-203100
18,18,0,1,-126309,128359
19,19,0,1,-140494,433523
20,20,0,1,-168259,649102
21,21,0,1,-192906,730534
22,22,0,1,-197696,665321
23,23,0,1,-172868,477667
24,24,0,1,-121045,222301
25,25,0,1,-57259,-30817
26,26,0,1,-5099,-216469
27,27,0,1,10971,-293105
28,28,0,1,-25662,-253811
29,29,0,1,-117162,-126012
30,30,0,1,-249001,38691
31,31,0,1,-393322,182653
32,32,0,1,-516469,260545
33,33,0,1,-588602,252373
34,34,0,1,-592189,167558
35,35,0,1,-526740,38629
36,36,0,1,-408307,-91663
37,37,0,1,-264118,-185615
38,38,0,1,-124486,-222216
39,39,0,1,-14653,-201988
40,40,0,1,51071,-143367
41,41,0,1,71389,-74215
42,42,0,1,55744,-20581
43,43,0,1,19456,1665
44,44,0,1,-21644,-9120
45,45,0,1,-55916,-42520
46,46,0,1,-77840,-82092
47,47,0,1,-87652,-112547
48,48,0,1,-88677,-125422
49,49,0,1,-84625,-120775
50,50,0,1,-77458,-105484
51,51,0,1,-67000,-88940
52,52,0,1,-51955,-78008
53,53,0,1,-31828,-74203
54,54,0,1,-8734,-73611
55,55,0,1,11955,-69519
56,56,0,1,23079,-56718
57,57,0,1,18069,-34763
58,58,0,1,-5814,-9344
59,59,0,1,-45365,9627
60,60,0,1,-90898,11886
61,61,0,1,-128622,-8405
62,62,0,1,-144796,-49026
63,63,0,1,-130557,-99079
64,64,0,1,-85935,-141832
65,65,0,1,-21158,-160332
66,66,0,1,45295,-143395
67,67,0,1,91846,-90525
68,68,0,1,100594,-13360
69,69,0,1,63275,67133
70,70,0,1,-15115,126537
71,71,0,1,-116607,144506
72,72,0,1,-214639,111360
73,73,0,1,-281350,31602
74,74,0,1,-295552,-76638
75,75,0,1,-248944,-186261
76,76,0,1,-148937,-268443
77,77,0,1,-17067,-300384
78,78,0,1,116279,-271327
79,79,0,1,219502,-185535
80,80,0,1,267689,-61321
81,81,0,1,248781,73392
82,82,0,1,166488,187810
83,83,0,1,39438,255611
84,84,0,1,-103224,261150
85,85,0,1,-228664,203304
86,86,0,1,-307934,95924
87,87,0,1,-322822,-35279
88,88,0,1,-270224,-158803
89,89,0,1,-162951,-245012
90,90,0,1,-26684,-273630
91,91,0,1,106384,-239019
92,92,0,1,205660,-151854
93,93,0,1,249908,-36358
94,94,0,1,232519,76411
95,95,0,1,162807,157109
96,96,0,1,62723,186328
97,97,0,1,-39882,159922
98,98,0,1,-119518,89717
99,99,0,1,-160164,-578
100,100,0,1,-159203,-82950
101,101,0,1,-126809,-133774
102,102,0,1,-81377,-140760
103,103,0,1,-42669,-105878
104,104,0,1,-25076,-43751
105,105,0,1,-33321,24007
106,106,0,1,-61934,76078
107,107,0,1,-98235,98182
108,108,0,1,-127599,86713
109,109,0,1,-138799,48781
110,110,0,1,-127673,-1405
111,111,0,1,-97797,-47913
112,112,0,1,-58501,-78441
113,113,0,1,-20889,-87584
114,114,0,1,6017,-77546
115,115,0,1,17988,-56091
116,116,0,1,16118,-33188
117,117,0,1,5435,-17392
118,118,0,1,-7723,-13387
119,119,0,1,-18181,-21264
120,120,0,1,-23647,-37488
121,121,0,1,-24797,-56672
122,122,0,1,-24263,-73641
123,123,0,1,-24829,-84823
124,124,0,1,-27982,-88682
125,125,0,1,-33037,-85558
126,126,0,1,-37558,-76878
127,127,0,1,-38339,-64440
128,128,0,1,-32903,-49966
129,129,0,1,-20686,-35036
130,130,0,1,-3583,-21039
131,131,0,1,14503,-9147
132,132,0,1,28646,-217
133,133,0,1,34370,5503
134,134,0,1,29013,8491
135,135,0,1,12635,9810
136,136,0,1,-11853,10716
137,137,0,1,-39335,12029
138,138,0,1,-63774,13604
139,139,0,1,-79869,14083
140,140,0,1,-84521,11241
141,141,0,1,-77775,2799
142,142,0,1,-62811,-12618
143,143,0,1,-45096,-34623
144,144,0,1,-30723,-60761
145,145,0,1,-24438,-86973
146,146,0,1,-28144,-108546
147,147,0,1,-40232,-121387
148,148,0,1,-56066,-123147
149,149,0,1,-69543,-113783
150,150,0,1,-75280,-95515
151,151,0,1,-70481,-72072
152,152,0,1,-56033,-47833
153,153,0,1,-36203,-26726
154,154,0,1,-17129,-11491
155,155,0,1,-4682,-3198
156,156,0,1,-2385,-1314
157,157,0,1,-10438,-3986
158,158,0,1,-25781,-8686
159,159,0,1,-43464,-13008
160,160,0,1,-58474,-15463
161,161,0,1,-67331,-16106
162,162,0,1,-68783,-16626
163,163,0,1,-63752,-19841
