Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
201,201,0,1,-383005,27706
202,202,0,1,-374070,14506
203,203,0,1,-367054,-3605
204,204,0,1,-362413,-19642
205,205,0,1,-360194,-26504
206,206,0,1,-359855,-19304
207,207,0,1,-360322,2921
208,208,0,1,-360335,36915
209,209,0,1,-358837,76365
210,210,0,1,-355383,113994
211,211,0,1,-350219,143941
212,212,0,1,-344091,163573
213,213,0,1,-337697,174121
214,214,0,1,-331156,180093
215,215,0,1,-323743,187525
216,216,0,1,-314024,201874
217,217,0,1,-300358,226292
218,218,0,1,-281659,260485
219,219,0,1,-258055,300682
220,220,0,1,-231109,340714
221,221,0,1,-203478,373654
222,222,0,1,-178238,393661
223,223,0,1,-157981,397533
224,224,0,1,-144198,385538
225,225,0,1,-137079,361359
226,226,0,1,-135846,331173
227,227,0,1,-139369,302066
228,228,0,1,-146792,280204
229,229,0,1,-157828,269322
230,230,0,1,-172631,269782
231,231,0,1,-191153,278678
232,232,0,1,-212656,290754
233,233,0,1,-235404,299984
234,234,0,1,-256890,301294
235,235,0,1,-274592,291891
236,236,0,1,-286899,271788
237,237,0,1,-293836,243551
238,238,0,1,-297223,211320
239,239,0,1,-300089,179621
240,240,0,1,-305542,152316
241,241,0,1,-315488,132028
242,242,0,1,-329884,120074
243,243,0,1,-346607,116691
244,244,0,1,-362271,121317
245,245,0,1,-373556,132595
246,246,0,1,-378631,148213
247,247,0,1,-377986,164750
248,248,0,1,-374447,177720
249,249,0,1,-372214,182272
250,250,0,1,-375308,174403
251,251,0,1,-386049,152387
252,252,0,1,-403989,117842
253,253,0,1,-425900,76066
254,254,0,1,-446685,35031
255,255,0,1,-460926,3470
256,256,0,1,-464628,-11633
257,257,0,1,-456536,-7191
258,258,0,1,-438597,14953
259,259,0,1,-415461,48413
260,260,0,1,-393234,84104
261,261,0,1,-377783,112934
262,262,0,1,-373168,128438
263,263,0,1,-380528,128464
264,264,0,1,-397739,115498
265,265,0,1,-419945,95599
266,266,0,1,-440717,76332
267,267,0,1,-453642,64459
268,268,0,1,-453897,64135
269,269,0,1,-439533,76004
270,270,0,1,-411978,97423
271,271,0,1,-375743,123560
272,272,0,1,-337330,148897
273,273,0,1,-303566,168710
274,274,0,1,-279831,180158
275,275,0,1,-268650,182812
276,276,0,1,-269064,178548
277,277,0,1,-277111,170992
278,278,0,1,-287139,164590
279,279,0,1,-293639,163597
280,280,0,1,-293081,171008
281,281,0,1,-285024,187734
282,282,0,1,-272229,212212
283,283,0,1,-259648,240553
284,284,0,1,-252706,267207
285,285,0,1,-255394,286157
